"26","6","1","Packington House and Cottage","Bickersteth Road","","","RG 12/460","35
"
"26","6","59","Park Hill","Clapham Park Road","","Froxfield, Park Hill","RG 12/443","100
"
"26","6","60","Park Hill","Clapham Park Road","","Hatherleigh, Park Hill","RG 12/443","100
"
"26","6","61","Park Hill","Clapham Park Road","","Ivyside House, Park Hill, 23","RG 12/443","97
"
"26","6","62","Park Hill","Clapham Park Road","","Linley Lodge, Park Hill","RG 12/443","99
"
"26","6","63","Park Hill","Clapham Park Road","","Merton Lodge, Park Hill","RG 12/443","99
"
"26","6","64","Park Hill","Clapham Park Road","","Moreton, Park Hill","RG 12/443","96
"
"26","6","65","Park Hill","Clapham Park Road","","Park Hill Cottage, Park Hill","RG 12/443","99
"
"26","6","66","Park Hill","Clapham Park Road","","Park Hill House, Park Hill, 5","RG 12/443","96
"
"26","6","67","Park Hill","Clapham Park Road","","Prescott Lodge, Park Hill","RG 12/443","99
"
"26","6","68","Park Hill","Clapham Park Road","","St Cuthberts 27","RG 12/443","98
"
"26","6","69","Park Hill","Clapham Park Road","","St Helens 25","RG 12/443","97
"
"26","6","70","Park Hill","Clapham Park Road","","Sandgate, Park Hill","RG 12/443","96
"
"26","6","71","Park Hill","Clapham Park Road","","Sandhurst, Park Hill","RG 12/443","98
"
"26","6","72","Park Hill","Clapham Park Road","","Streatham Common, Park Hill","RG 12/457","79
"
"26","6","73","Park Hill","Clapham Park Road","","Suffolk Lodge, Park Hill","RG 12/443","98
"
"26","6","74","Park Hill","Clapham Park Road","","Tooting High Street","RG 12/454","51
"
"26","6","75","Park Hill","Clapham Park Road","","Warwick Lodge, Park Hill","RG 12/443","99
"
"26","6","76","Park Hill","Clapham Park Road","","West Lodge, Park Hill","RG 12/443","99
"
"26","6","77","Park Hill Cottages","Besley Street","","1-14","RG 12/457","134-135
"
"26","6","78","Park Hill and Lodges and Park House","Tooting High Street","","1-5","RG 12/454","51
"
"26","6","79","Park Place","Clapham Park Road","","1-75 odd","RG 12/443","110-114
"
"26","6","80","Park Place","Clapham Park Road","","2-94 even","RG 12/443","114-119
"
"26","6","81","Park Place","Clapham Park Road","","45","RG 12/443","118
"
"26","6","82","Park Place","Clapham Park Road","","Albert Cottages, Park Place, 1-4","RG 12/443","110
"
"26","6","83","Park Place","Clapham Park Road","","Edward Cottage, Park Place","RG 12/443","110
"
"26","6","84","Park Place","Clapham Park Road","","Parkfield Cottage, Park Place","RG 12/443","114
"
"26","6","85","Park Place","Gladstone Terrace","","7-12","RG 12/423","42-43
"
"26","6","86","Park Place","Gladstone Terrace","","8A","RG 12/426","108
"
"26","6","87","Park Place","Gladstone Terrace, Battersea","","1-6 A","RG 12/426","107-108
"
"26","6","88","Park Place","Tooting Grove","","1-14","RG 12/459","95-96
"
"26","6","89","Park Road","Battersea Bridge Road","","1-32","RG 12/420","16-20
"
"26","6","90","Park Road","Battersea Bridge Road","","55-67 odd","RG 12/420","20-21
"
"26","6","91","Park Road","Clapham High Street","See Clapham Park Road","","",""
"26","6","92","Park Road","Roehampton Lane:","","Cambridge Villas, Park Road, 1-2","RG 12/453","159
"
"26","6","93","Park Road","Roehampton Lane:","","Childrens Home & School Park Row 1-6","RG 12/453","160-161
"
"26","6","94","Park Road","Roehampton Lane:","","Gravel Pit Cottage, Park Road","RG 12/453","161
"
"26","6","95","Park Road","Roehampton Lane:","","Highwood, Park Road","RG 12/453","161
"
"26","6","96","Park Road","Roehampton Lane:","","Park House, Park Road","RG 12/453","160
"
"26","6","97","Park Road","Roehampton Lane:","","Post Office, Park Road","RG 12/453","160
"
"26","6","98","Park Road","Roehampton Lane:","","Stamford House, Park Road, 3","RG 12/453","160
"
"26","6","99","Park Road","Roehampton Lane:","","Stoneleigh, Park Road","RG 12/453","161
"
"26","6","100","Park Road","Roehampton Lane:","","Studlands, Park Road","RG 12/453","161
"
"26","6","101","Park Road","Roehampton Lane:","","Westmoor, Park Road","RG 12/453","161
"
"26","6","102","Park Road","Roehampton Lane:","","Woodlands, Park Road","RG 12/453","161
"
"26","6","103","Park Road","Spencer Road","","1-55 odd","RG 12/436","48-51
"
"26","6","104","Park Road","Spencer Road","","2-52 even","RG 12/436","51-53
"
"26","6","105","Park Road","Spencer Road","","57-59","RG 12/448","81
"
"26","6","106","Park Road","Spencer Road","","Ladies Home 31","RG 12/436","50
"
"26","6","107","Park Road Villas","Carlton Grove","","3-6","RG 12/422","87-88
"
"26","6","108","Park Terrace","Cavendish Road, Clapham","","1-12","RG 12/444","33-34
"
"26","6","109","Park Terrace","Garratt Lane","","1-4","RG 12/449","50
"
"26","6","110","Park Terrace","Livingstone Road","","1-9","RG 12/434","116-117
"
"26","6","111","Park Terrace","Putney High Street","","1-2","RG 12/453","144
"
"26","6","112","Park Terrace","Winfrith Road","","1-12","RG 12/449","88-90
"
"26","6","113","Park Villas","Merton Road","","1-2","RG 12/446","32
"
"26","6","114","Park Villas","Merton Road","","3-6","RG 12/446","32
"
"26","6","115","Parkfields","Upper Richmond Road Putney","","2-24 even mixed","RG 12/453","92-93
"
"26","6","116","Parkfields","Upper Richmond Road Putney","See also Lower and Upper","1-23 odd","RG 12/453","91-92
"
"26","6","117","Parkham Street","Surrey Lane, Battersea","","2-43","RG 12/430","20-27
"
"26","6","118","Parkside Street","Battersea Park Road","","1-73 odd","RG 12/422","20-24
"
"26","6","119","Parkside Street","Battersea Park Road","","2-68 even","RG 12/421","124-128
"
"26","6","120","Parma Crescent","Eccles Road","","4-52","RG 12/439","68-72
"
"26","6","121","Parma Crescent","Eccles Road","","55-76","RG 12/439","72-74
"
"26","6","122","Parsons Yard","Putney High Street","","1-3","RG 12/452","19-20
"
"26","6","123","Pathfield Road","Ellison Road","","","RG 12/457","120-121
"
"26","6","124","Patience Road","Falcon Road, Battersea","","3-47 odd","RG 12/432","112-115
"
"26","6","125","Patience Road","Falcon Road, Battersea","Now contains Maud Terrace","2-14 even","RG 12/432","111-112
"
"26","6","126","Patmore Street","St Georges Road, Battersea","","1-2, 44-45","RG 12/426","82
"
"26","6","127","Patmore Street","St Georges Road, Battersea","","3-43","RG 12/427","79-84
"
"26","6","128","Patten Road","Trinity Road","","1-19 odd","RG 12/450","116-117
"
"26","6","129","Patten Road","Trinity Road","","2-22 even","RG 12/450","117-118
"
"26","6","130","Pavement, The","Balham High Road","","1-5","RG 12/454","143
"
"26","6","131","Pavement, The","Clapham High Street","","1-32","RG 12/442","90-93
"
"26","6","132","Pavement, The","Streatham Common","","1-3","RG 12/457","101-102
"
"26","6","133","Pavement, The","Streatham High Street","","1-9","RG 12/456","92-93
"
"26","6","134","Pavement, The","Tooting High Street","","1-5","RG 12/454","52
"
"26","6","135","Peardon Street","","","8-38 even","RG 12/440","160-162
"
"26","6","136","Peardon Street","","","9-39 odd","RG 12/440","158-160
"
"26","6","137","Peardon Street","Silverthorne Road, Clapham","","1-7","RG 12/440","140-141
"
"26","6","138","Pearson Street","Este Road, Battersea","","1-21","RG 12/433","77-79
"
"26","6","139","Pearson Street","Este Road, Battersea","","62","RG 12/433","78
"
"26","6","140","Pearsons Cottages","Garratt Lane","","1-5","RG 12/449","77-78
"
"26","6","141","Pegasus Avenue","Tooting High Street","","1-4","RG 12/459","123
"
"26","6","142","Pendennis Road","Streatham High Road","","Bladford Lodge, Pendennis Road","RG 12/457","41
"
"26","6","143","Pendennis Road","Streatham High Road","","Campfer, Pendennis Road","RG 12/457","41
"
"26","6","144","Pendennis Road","Streatham High Road","","Compton, Pendennis Road","RG 12/457","41
"
"26","6","145","Pendennis Road","Streatham High Road","","Corozal, Pendennis Road","RG 12/457","41
"
"26","6","146","Pendennis Road","Streatham High Road","","Crohill, Pendennis Road","RG 12/457","42
"
"26","6","147","Pendennis Road","Streatham High Road","","Ephraim, Pendennis Road","RG 12/457","42
"
"26","6","148","Pendennis Road","Streatham High Road","","Heath Villa, Pendennis Road","RG 12/457","42
"
"26","6","149","Pendennis Road","Streatham High Road","","Hollingwood, Pendennis Road","RG 12/457","41
"
"26","6","150","Pendennis Road","Streatham High Road","","Homelea, Pendennis Road","RG 12/457","42
"
"26","6","151","Pendennis Road","Streatham High Road","","Sunningdale, Pendennis Road","RG 12/457","41
"
"26","6","152","Pendennis Road","Streatham High Road","Now contains part of Angles Road","2-10 even","RG 12/457","41
"
"26","6","153","Penfolds Cottages","Totterdown, Lower Tooting","","1-3","RG 12/460","5
"
"26","6","154","Pensbury Street","Wandsworth Road, Clapham","","2-36 even","RG 12/441","43-45
"
"26","6","155","Pensbury Street","Wandsworth Road, Clapham","","5-29 odd","RG 12/441","41-43
"
"26","6","156","Pensbury Terrace","Wandsworth Road","","1-5","RG 12/441","81-82
"
"26","6","157","Pensbury Terrace","Wandsworth Road","","6-10","RG 12/441","80-81
"
"26","6","158","Pentlow Street","Lower Richmond Road, Putney","","1-4, 10","RG 12/452","164
"
"26","6","159","Pentlow Street","Lower Richmond Road, Putney","","Clarence Villas, Pentlow Street, 1-4","RG 12/452","163
"
"26","6","160","Pentlow Street","Lower Richmond Road, Putney","","Clyde Villas, Pentlow Street, 1-8","RG 12/452","166-167
"
"26","6","161","Pentlow Street","Lower Richmond Road, Putney","","Devon Villas, Pentlow Street, 1-2","RG 12/452","164
"
"26","6","162","Pentlow Street","Lower Richmond Road, Putney","","Fern Villas, Pentlow Street, 1-2","RG 12/452","163
"
"26","6","163","Pentlow Street","Lower Richmond Road, Putney","","Ley Villas, Pentlow Street, 3-4","RG 12/452","165-166
"
"26","6","164","Pentlow Street","Lower Richmond Road, Putney","","Lime Villas, Pentlow Street, 1-4","RG 12/452","164-165
"
"26","6","165","Pentlow Street","Lower Richmond Road, Putney","","Lower Richmond Road 13-16","RG 12/452","167
"
"26","6","166","Pentlow Street","Lower Richmond Road, Putney","","Marlow Villas, Pentlow Street, 7-8","RG 12/452","163
"
"26","6","167","Pentlow Street","Lower Richmond Road, Putney","","Pentlow Villas, Pentlow Street, 1-2","RG 12/452","165
"
"26","6","168","Pentlow Street","Lower Richmond Road, Putney","","Walton Villas, Pentlow Street, 1","RG 12/452","164
"
"26","6","169","Penwith Street","Dunts Hill, Garratt Lane","","1-7, 21","RG 12/449","17-18
"
"26","6","170","Penwith Street","Dunts Hill, Garratt Lane","","Knights Cottages, Penwith Street, 1-4","RG 12/449","16
"
"26","6","171","Penwith Street","Dunts Hill, Garratt Lane","","Penwith Villas, Penwith Street, 1-2","RG 12/449","16
"
"26","6","172","Pepper Alley","Putney High Street","","","RG 12/452","19
"
"26","6","173","Perseverance Cottages","Fords Place","","1-3","RG 12/429","17-18
"
"26","6","174","Perseverance Grove","Kelsons Row, Clapham","","1-3","RG 12/443","40
"
"26","6","175","Petworth Street","Battersea Bridge Road","","Watford Villas 1-17 odd","RG 12/420","52-53
"
"26","6","176","Petworth Street","Battersea Bridge Road","","Watford Villas 2-20 even","RG 12/420","53-54
"
"26","6","177","Petworth Street","Battersea Bridge Road","Formerly part of Bolen Street","1-27","RG 12/420","54-58
"
"26","6","178","Peveril Street","Battersea Bridge Road","","1-19 odd","RG 12/420","35-36
"
"26","6","179","Peveril Street","Battersea Bridge Road","","2-18 even","RG 12/420","36-37
"
"26","6","180","Pheonix Terrace","Wirtemberg Street","","1-8","RG 12/442","146
"
"26","6","181","Pickets Street","Oldridge Road, Clapham","","1-31 odd","RG 12/444","136-138
"
"26","6","182","Pickets Street","Oldridge Road, Clapham","","2-34 even","RG 12/444","138-139
"
"26","6","183","Pier Terrace","Jews Row","","1-6","RG 12/447","140-141
"
"26","6","184","Pines, The","Putney Hill","","1-2","RG 12/453","108
"
"26","6","185","Pines, The","Streatham High Road","","and Cottage, The Pines","RG 12/458","94
"
"26","6","186","Pitcairn Street","Wandsworth Road, Clapham","Formerly William Street","1-37","RG 12/440","98-104
"
"26","6","187","Platt, The","Clarence Terrace and House","","1-19","RG 12/452","111-114
"
"26","6","188","Platt, The","Clarence Terrace and House","","14","RG 12/452","115
"
"26","6","189","Platt, The","Lower Richmond Road Putney","","1-16","RG 12/452","114-115
"
"26","6","190","Pleasant Place","Clapham Park Road","","1-13","RG 12/443","75-76
"
"26","6","191","Pleasant Place","Clapham Park Road","","Little and Cottage, Pleasant Place","RG 12/443","75-76
"
"26","6","192","Plough Road","","","Plough Terrace, Plough Road, 1-4","RG 12/435","110
"
"26","6","193","Plough Road","","","St Peters Clubhouse, Plough Road, 29","RG 12/433","109
"
"26","6","194","Plough Road","","","St Peters Vicarage, Plough Road, 21","RG 12/433","109
"
"26","6","195","Plough Road","","","Schoolhouse, Plough Road","RG 12/435","109
"
"26","6","196","Plough Road","Brittania Place","","1-39","RG 12/435","81-85
"
"26","6","197","Plough Road","Brittania Place","","15, 28, 29","RG 12/435","89
"
"26","6","198","Plough Road","St Johns Hill, Battersea","","1-75 odd","RG 12/433","108-111
"
"26","6","199","Plough Road","St Johns Hill, Battersea","","98, 102-128 even","RG 12/435","108-109
"
"26","6","200","Plough Road","St Johns Hill, Battersea","","Plough Tavern and 2, 8-98 even","RG 12/435","95-99
"
"26","6","201","Plough Road","St Johns Hill, Battersea","Number 133 is entered incorrectly as 137","77-139 odd","RG 12/434","137-140
"
"26","6","202","Plough Terrace","St Johns Hill, Plough Road","Formerly Plough Lane West","1-4","RG 12/435","110
"
"26","6","203","Podmore Road","York Road, Battersea","","Blenheim House and Cottage, Podmore Road, 1","RG 12/448","36
"
"26","6","204","Point Pleasant","Putney Bridge Road","","1-49 odd mixed","RG 12/445","52-55
"
"26","6","205","Point Pleasant","Putney Bridge Road","","2-110 even","RG 12/445","42-46
"
"26","6","206","Point Pleasant","Putney Bridge Road","","Brewery Yard, Point Pleasant","RG 12/445","46
"
"26","6","207","Point Pleasant","Putney Bridge Road","","Coal Depot","RG 12/445","55
"
"26","6","208","Point Pleasant","Putney Bridge Road","","Malthouse Yard, Point Pleasant","RG 12/445","45
"
"26","6","209","Point Pleasant","Putney Bridge Road","","Northfield House, Point Pleasant","RG 12/445","55
"
"26","6","210","Point Pleasant","Putney Bridge Road","","Northfield Villa, Point Pleasant","RG 12/445","55
"
"26","6","211","Point Pleasant","Putney Bridge Road","","Oziers, Point Pleasant","RG 12/445","43
"
"26","6","212","Point Pleasant","Putney Bridge Road","","Prospect Cottages, Point Pleasant, 1-14","RG 12/445","55-57
"
"26","6","213","Point Pleasant","Putney Bridge Road","","Walters Cottages, Point Pleasant, 1-4","RG 12/445","55
"
"26","6","214","Police Station","","","Medfield Street","RG 12/453","157
"
"26","6","215","Police Station","","","Mitcham Road","RG 12/460","26
"
"26","6","216","Police Station","","","Smedley Street","RG 12/441","107, 129
"
"26","6","217","Police Station","","","Streatham High Road","RG 12/457","11
"
"26","6","218","Police Station","","","Tooting Broadway","RG 12/460","9, 41
"
"26","6","219","Police Station","","","Trinity Road, Tooting","RG 12/454","74-75
"
"26","6","220","Police Station","","","Upper Richmond Road 191","RG 12/453","63-64
"
"26","6","221","Police Station","","","West Hill","RG 12/445","88
"
"26","6","222","Polworth Road","Hepton Road, Streatham","","5-13","RG 12/456","151-152
"
"26","6","223","Polworth Road","Hepton Road, Streatham","","Craigmore, Polworth Road","RG 12/456","150
"
"26","6","224","Polworth Road","Hepton Road, Streatham","","Ferndale, Polworth Road","RG 12/456","151
"
"26","6","225","Polworth Road","Hepton Road, Streatham","","Glenorme, Polworth Road","RG 12/456","150
"
"26","6","226","Polworth Road","Hepton Road, Streatham","","Harden Court","RG 12/456","150
"
"26","6","227","Polworth Road","Hepton Road, Streatham","","Heatherleigh, Polworth Road","RG 12/456","150
"
"26","6","228","Polworth Road","Hepton Road, Streatham","","Laleham, Polworth Road","RG 12/456","150
"
"26","6","229","Polworth Road","Hepton Road, Streatham","","Meran, Polworth Road","RG 12/456","151
"
"26","6","230","Polworth Road","Hepton Road, Streatham","","Nethercroft, Polworth Road, 13","RG 12/456","152
"
"26","6","231","Polworth Road","Hepton Road, Streatham","","Stanmore, Polworth Road","RG 12/456","150
"
"26","6","232","Polworth Road","Hepton Road, Streatham","","Sunnyside, Polworth Road","RG 12/456","151
"
"26","6","233","Polworth Road","Hepton Road, Streatham","","The Laurels, Polworth Road","RG 12/456","151
"
"26","6","234","Polworth Road","Hepton Road, Streatham","","Woodbury, Polworth Road","RG 12/456","151
"
"26","6","235","Polygon, The","Clapham Old Town","","1-18","RG 12/442","94-97
"
"26","6","236","Ponsonby Road","Medfield Street, Roehampton","","Basildine Lodge, Ponsonby Road","RG 12/453","159
"
"26","6","237","Ponsonby Road","Medfield Street, Roehampton","","Laurel Villas, Ponsonby Road, 1-2","RG 12/453","159
"
"26","6","238","Ponsonby Road","Medfield Street, Roehampton","","Lily Cottage and Schoolhouses, Ponsonby Road","RG 12/453","159
"
"26","6","239","Ponsonby Road","Medfield Street, Roehampton","","Myrtle Villas, Ponsonby Road, 1-2","RG 12/453","158-159
"
"26","6","240","Ponton Road","Nine Kims Lane, Battersea","","1-25 odd mixed","RG 12/425","95-97
"
"26","6","241","Ponton Road","Nine Kims Lane, Battersea","","17, 28","RG 12/425","101-102
"
"26","6","242","Ponton Road","Nine Kims Lane, Battersea","","2-40 even","RG 12/425","97-101
"
"26","6","243","Ponton Street","Currie Street, Battersea","","1-15","RG 12/425","127-129
"
"26","6","244","Poplar Place","Roehampton Lane","","1-5","RG 12/453","156-157
"
"26","6","245","Porson Street","Stewart Road, Battersea","","1-28","RG 12/427","84-87
"
"26","6","246","Porters Fields","Merton Road, Southfield","","","RG 12/446","77
"
"26","6","247","Porters Fields","Merton Road, Southfield","","Allsops Cottages, Porters Fields, 1-2","RG 12/446","77
"
"26","6","248","Portinscale House","West Hill, Portinscale Road","","","RG 12/445","98-100
"
"26","6","249","Portland Place","Balham High Road","","1-5","RG 12/455","125
"
"26","6","250","Portslade Road","Wandsworth Road, Battersea","","8-29","RG 12/423","109-112
"
"26","6","251","Portslade Road","Wandsworth Road, Clapham","","1-7","RG 12/441","33-34
"
"26","6","252","Portslade Road","Wandsworth Road, Clapham","","Portslade Terrace, Portslade Road, 1-8","RG 12/441","32
"
"26","6","253","Potters Court Cottages","Putney Bridge Road","","1-6","RG 12/445","7
"
"26","6","254","Pountney Road","Lavender Hill, Battersea","","1-14","RG 12/428","35-37
"
"26","6","255","Power Street","Stewarts Road, Battersea","","1-35","RG 12/427","87-92
"
"26","6","256","Poynders Road","Cavendish Road, Clapham","","6","RG 12/443","161
"
"26","6","257","Poynders Road","Cavendish Road, Clapham","","Balbedore House, Poynders Road","RG 12/443","162
"
"26","6","258","Poynders Road","Cavendish Road, Clapham","","Berkley Lodge, Poynders Road","RG 12/443","161
"
"26","6","259","Poynders Road","Cavendish Road, Clapham","","Bloomfield, Poynders Road","RG 12/443","164
"
"26","6","260","Poynders Road","Cavendish Road, Clapham","","Bygrave House and Lodge, Poynders Road","RG 12/443","165
"
"26","6","261","Poynders Road","Cavendish Road, Clapham","","Cedar Lodge, Poynders Road","RG 12/443","161
"
"26","6","262","Poynders Road","Cavendish Road, Clapham","","Chios House, Poynders Road","RG 12/443","165
"
"26","6","263","Poynders Road","Cavendish Road, Clapham","","Clare Lodge, Poynders Road","RG 12/443","161
"
"26","6","264","Poynders Road","Cavendish Road, Clapham","","Courtlands, Poynders Road","RG 12/443","164-165
"
"26","6","265","Poynders Road","Cavendish Road, Clapham","","Dasham House, Poynders Road","RG 12/443","165
"
"26","6","266","Poynders Road","Cavendish Road, Clapham","","Eldon House, Poynders Road","RG 12/443","162
"
"26","6","267","Poynders Road","Cavendish Road, Clapham","","Firs Lodge, Poynders Road","RG 12/443","161
"
"26","6","268","Poynders Road","Cavendish Road, Clapham","","Forest Lodge, Poynders Road","RG 12/443","161
"
"26","6","269","Poynders Road","Cavendish Road, Clapham","","Heathfield Lodge, Poynders Road","RG 12/443","162
"
"26","6","270","Poynders Road","Cavendish Road, Clapham","","Lingham House, Poynders Road","RG 12/443","161
"
"26","6","271","Poynders Road","Cavendish Road, Clapham","","Lucan House, Poynders Road","RG 12/443","162
"
"26","6","272","Poynders Road","Cavendish Road, Clapham","","Oakfield, Poynders Road","RG 12/443","164
"
"26","6","273","Poynders Road","Cavendish Road, Clapham","","Oaklands and Lodge, Poynders Road","RG 12/443","165-166
"
"26","6","274","Poynders Road","Cavendish Road, Clapham","","Park Lodge, Poynders Road","RG 12/443","161
"
"26","6","275","Poynders Road","Cavendish Road, Clapham","","Parkfield, Poynders Road","RG 12/443","162
"
"26","6","276","Poynders Road","Cavendish Road, Clapham","","Shirley Lodge, Poynders Road","RG 12/443","161-162
"
"26","6","277","Poynders Road","Cavendish Road, Clapham","","Utrecht House, Poynders Road","RG 12/443","161
"
"26","6","278","Poyntz Road","Knowsley Road, Battersea","","1A-1B, 1-39 odd","RG 12/421","13-16
"
"26","6","279","Poyntz Road","Knowsley Road, Battersea","","2-24 even","RG 12/421","16-17
"
"26","6","280","Prairie Street","Queens Road, Battersea","","1-19 odd","RG 12/424","81-82
"
"26","6","281","Prairie Street","Queens Road, Battersea","","2-36 even","RG 12/424","82-85
"
"26","6","282","Prescott Place","Cross Street, East Side","","1-4","RG 12/442","162
"
"26","6","283","Prescott Place","Cross Street, East Side","","Bakers Cottages, Prescott Place","RG 12/442","162-163
"
"26","6","284","Prescott Place","Cross Street, East Side","","Braywiche Cottages, Prescott Place","RG 12/442","163
"
"26","6","285","Prescott Place","Cross Street, West Side","1-7 part MISSING on f164 including Cottage at rear of no 3","Part, Prescott Place, 7-10","RG 12/442","163
"
"26","6","286","Prested Road","St Johns Hill, Battersea","Formerly New Road includes Clapham Junction Station House","1-7","RG 12/434","135
"
"26","6","287","Prices Folly","Cardinal Place","","1-9","RG 12/453","36-37
"
"26","6","288","Priest Bridge","part of Upper Richmond Road, Roehampton","","1-8","RG 12/453","138
"
"26","6","289","Prince of Wales Road","Battersea Bridge Road","","","RG 12/423","91
"
"26","6","290","Prince of Wales Road","Battersea Bridge Road","","Albany House, Prince of Wales Road","RG 12/420","71
"
"26","6","291","Prince of Wales Road","Battersea Bridge Road","","All Saints Church and Vicarage, Prince of Wales Road","RG 12/423","105
"
"26","6","292","Prince of Wales Road","Battersea Bridge Road","","Carlton House, Prince of Wales Road","RG 12/420","71
"
"26","6","293","Prince of Wales Road","Battersea Bridge Road","","Dorset House, Prince of Wales Road","RG 12/420","71
"
"26","6","294","Prince of Wales Road","Battersea Bridge Road","","Rosenau House, Prince of Wales Road","RG 12/420","71
"
