"6","6","1","Pacifico Terrace","pt London Place","","","RG 12/204","63
"
"6","6","52","Pickles Buildings","Homerton High Street","","","RG 12/202","82-83
"
"6","6","53","Pigwell Path","The Grove","inc Casterton Terrace","","RG 12/191","65-67
"
"6","6","54","Pincey Road","Homerton High Street","later pt Daubeney Road","","RG 12/201","95
"
"6","6","55","Pittville Houses","pt Lea Bridge Road","","","RG 12/197","55
"
"6","6","56","Pleasant Place","Lawrence Buildings","","","RG 12/184","37
"
"6","6","57","Plough Lane","Homerton High Street","","","RG 12/200","131-133
"
"6","6","58","Plover Street","Gainsborough Road","","","RG 12/202","125-129
"
"6","6","59","Police Stations","","","Mare Street","RG 12/196","39
"
"6","6","60","Police Stations","","","Stoke Newington High Street","RG 12/1065","127-128
"
"6","6","61","Police Stations","","","Wick Road","RG 12/206","116
"
"6","6","62","Pond Lane","Lower Clapton Road","now pt Mill Fields Road","","",""
"6","6","63","Poole Road","Well Street","","1-5","RG 12/206","35
"
"6","6","64","Poole Road","Well Street","","36-42","RG 12/206","37
"
"6","6","65","Poole Road","Well Street","","6-36A","RG 12/206","16-20
"
"6","6","66","Portland Avenue","Stamford Hill","","","RG 12/182","55
"
"6","6","67","Portland Place","pt Lower Clapton Road","","North, Portland Place, Portland Place","RG 12/196","68-69
"
"6","6","68","Portland Place","pt Lower Clapton Road","","South, Portland Place, Portland Place","RG 12/196","40-41
"
"6","6","69","Powell Road","Downs Road","","","RG 12/197","88-91
"
"6","6","70","Powerscroft Road","Lower Clapton Road","","1-67 Odd","RG 12/198","77-80
"
"6","6","71","Powerscroft Road","Lower Clapton Road","","2-32 Even","RG 12/198","76-77
"
"6","6","72","Powerscroft Road","Lower Clapton Road","","34-156 Even","RG 12/198","54-61
"
"6","6","73","Powerscroft Road","Lower Clapton Road","","69-185 Odd","RG 12/198","47-54
"
"6","6","74","Pratts Row","Brooksbys Walk","","","RG 12/201","27-28
"
"6","6","75","Presburg Street","Glyn Road","","","RG 12/199","94-100
"
"6","6","76","Prince Edward Road","Victoria Road","now contains Lorne Terrace","1-9 Odd","RG 12/207","192
"
"6","6","77","Prince Edward Road","Victoria Road","now contains Lorne Terrace","11-29 Odd","RG 12/207","178-179
"
"6","6","78","Prince Edward Road","Victoria Road","now contains Lorne Terrace","2-54 Even","RG 12/207","185-189
"
"6","6","79","Prince Edward Road","Victoria Road","now contains Lorne Terrace","31 Odd","RG 12/207","115
"
"6","6","80","Prince Edward Road","Victoria Road","now contains Lorne Terrace","56-82 Even","RG 12/207","113-115
"
"6","6","81","Prince of Wales Terrace","Lea Bridge Road","","","RG 12/197","50
"
"6","6","82","Priory Place","Well Street","was St Johns Place","","RG 12/205","112-114
"
"6","6","83","Priory Yard","College Avenue","","","RG 12/200","83
"
"6","6","84","Pritchard Place","London Fields","now pt Broadway","","",""
"6","6","85","Pritchards Road","Hackney Road","Remainder in BETHNAL GREEN & SHOREDITCH Districts","102-130 Even","RG 12/204","112-113
"
"6","6","86","Prout Road","Upper Clapton Road","","","RG 12/197","63-71
"
"6","6","87","Providence Cottages","pt Harrington Hill","","","RG 12/183","147
"
"6","6","88","Providence Place & Terrace","pt Harrington Hill","","Place, Providence Place & Terrace, 6-7","RG 12/183","153
"
"6","6","89","Providence Place & Terrace","pt Harrington Hill","","Terrace, Providence Place & Terrace, 1-4","RG 12/183","148
"
"6","6","90","Providence Terrace","pt Harrington Hill","","","RG 12/183","148
"
"6","6","91","Queen Ann Road","Cassland Road","","","RG 12/206","13-16
"
"6","6","92","Queen Elizabeth Walk","Lordship Road","","","RG 12/180","19-28
"
"6","6","93","Queens Court","Well Street","","","RG 12/205","114
"
"6","6","94","Queens Road","Dalston","","1-101 Odd see SHOREDITCH Dist","","
"
"6","6","95","Queens Road","Dalston","","103-123 Odd","RG 12/193","110-111
"
"6","6","96","Queens Road","Dalston","","125-265 Odd","RG 12/193","113-121
"
"6","6","97","Queens Road","Dalston","","178-240 Even","RG 12/195","4-8
"
"6","6","98","Queens Road","Dalston","","2-72 Even see SHOREDITCH Dist","","
"
"6","6","99","Queens Road","Dalston","","74-176 Even","RG 12/194","23-29
"
"6","6","100","Queensdown Road","Downs Road","","","RG 12/197","95-98
"
"6","6","101","Quested Buildings","Brett Road","","","RG 12/191","113-115
"
"6","6","102","Railway Cottages","Ridley Road","","","RG 12/187","67-68
"
"6","6","103","Railway Stations","","","Goods & Coal Yards, Dalston, Near Tranquil Place, Railway Stations","RG 12/187","107
"
"6","6","104","Railway Stations","","","Hackney Downs Station, Dalston Lane","RG 12/192","18
"
"6","6","105","Railway Stations","","","Homerton Station, Mackintosh Lane","RG 12/202","103
"
"6","6","106","Ravensdale Road","Stamford Hill","","","RG 12/182","20-23
"
"6","6","107","Rayner Street","Loddiges Road","","","RG 12/195","79-81
"
"6","6","108","Rectory Road","Amhurst Road","","1-33 Odd","RG 12/185","79-80
"
"6","6","109","Rectory Road","Amhurst Road","","16-54 Even","RG 12/185","81-83
"
"6","6","110","Rectory Road","Amhurst Road","","2-14 Even","RG 12/186","85-86
"
"6","6","111","Rectory Road","Amhurst Road","","35-99 Odd","RG 12/185","10-13
"
"6","6","112","Rectory Road","Amhurst Road","","3A-13A Odd","RG 12/186","86-87
"
"6","6","113","Rectory Road","Amhurst Road","","56-128 Even","RG 12/185","7-10
"
"6","6","114","Rectory Road","Amhurst Road","","Nursery, Rectory Road","RG 12/186","86
"
"6","6","115","Redwald Road","Glyn Road","","1-49 Odd","RG 12/199","119-122
"
"6","6","116","Redwald Road","Glyn Road","","2-38 Even","RG 12/199","117-119
"
"6","6","117","Redwald Road","Glyn Road","","40 Even","RG 12/200","40
"
"6","6","118","Redwald Road","Glyn Road","","51-59 Odd","RG 12/200","40
"
"6","6","119","Reedholm Street","Winston Road","","","RG 12/181","157
"
"6","6","120","Reighton Road","Brooke Road","","Even Nos","RG 12/196","98-103
"
"6","6","121","Reighton Road","Brooke Road","","Odd Nos","RG 12/184","78-82
"
"6","6","122","Rendles Cottage","Dunn Street","","","RG 12/186","51-52
"
"6","6","123","Rendlesham Road","","","1-13 Odd","RG 12/197","122-123
"
"6","6","124","Rendlesham Road","","","15 Odd","RG 12/185","49
"
"6","6","125","Rendlesham Road","","","16-24 Even","RG 12/185","49-50
"
"6","6","126","Rendlesham Road","","","17 Odd","RG 12/185","53
"
"6","6","127","Rendlesham Road","","","19-93 Odd","RG 12/185","46-49
"
"6","6","128","Rendlesham Road","","","2-14 Even","RG 12/197","123
"
"6","6","129","Rendlesham Road","","","26 Even","RG 12/185","59
"
"6","6","130","Rendlesham Road","","","28-90 Even","RG 12/185","50-53
"
"6","6","131","Rendlesham Road","","","92-104 Even","RG 12/196","117-118
"
"6","6","132","Rendlesham Road","","","97-153 Odd","RG 12/196","118-120
"
"6","6","133","Rendlesham Road","","","Dairy and Rooms","RG 12/185","53
"
"6","6","134","Rendlesham Road","","","pt 41 Odd","RG 12/185","73
"
"6","6","135","Reservoir Cottages","Lordship Road","","","RG 12/179","181-182
"
"6","6","136","Retreat Cottages","","","7","RG 12/183","152
"
"6","6","137","Retreat Place","Lea Side","","1-12","RG 12/183","152-153
"
"6","6","138","Retreat Place","","","1 & 4, 8-9","RG 12/183","157
"
"6","6","139","Retreat Place","","","2-3, 6 & 10","RG 12/183","153-154
"
"6","6","140","Retreat Place","","","5","RG 12/183","155
"
"6","6","141","Retreat Place","Morning Lane","","Church Army Mission","RG 12/201","107
"
"6","6","142","Retreat Place","Morning Lane","","Even Nos","RG 12/202","28-30
"
"6","6","143","Retreat Place","Morning Lane","","Odd Nos","RG 12/201","107-110
"
"6","6","144","Retreat Place","Morning Lane","","pt, Retreat Place, 26","RG 12/202","14
"
"6","6","145","Reynolds Cottages","pt Grove Road","","","RG 12/183","173
"
"6","6","146","Ribstone Street","Morning Lane","","","RG 12/202","37-40
"
"6","6","147","Ribstone Street","Morning Lane","was Thomas Street","pt, Ribstone Street, 21","RG 12/202","40
"
"6","6","148","Richmond Road","Dalston","","1-15 Odd","RG 12/193","66-67
"
"6","6","149","Richmond Road","Dalston","","121-145 Odd","RG 12/195","45-46
"
"6","6","150","Richmond Road","Dalston","","136-180 Even","RG 12/194","49-50
"
"6","6","151","Richmond Road","Dalston","","14-24 Even do not exist","","
"
"6","6","152","Richmond Road","Dalston","","147-169 Odd","RG 12/192","4-5
"
"6","6","153","Richmond Road","Dalston","","17-37 Odd","RG 12/193","134-135
"
"6","6","154","Richmond Road","Dalston","","171-191 Odd","RG 12/191","80-81
"
"6","6","155","Richmond Road","Dalston","","182-210 Even","RG 12/194","110-111
"
"6","6","156","Richmond Road","Dalston","","193-205 Odd","RG 12/191","10
"
"6","6","157","Richmond Road","Dalston","","2-10 Even","RG 12/188","50
"
"6","6","158","Richmond Road","Dalston","","209-225","RG 12/191","11
"
"6","6","159","Richmond Road","Dalston","","212-272 Even","RG 12/191","33-36
"
"6","6","160","Richmond Road","Dalston","","214-280 Even","RG 12/191","10
"
"6","6","161","Richmond Road","Dalston","","26-64 Even","RG 12/193","95-98
"
"6","6","162","Richmond Road","Dalston","","37A Odd","RG 12/193","137
"
"6","6","163","Richmond Road","Dalston","","39-91 Odd","RG 12/195","8-10
"
"6","6","164","Richmond Road","Dalston","","66-88 Even","RG 12/193","135-137
"
"6","6","165","Richmond Road","Dalston","","90-134 Even","RG 12/194","20-23
"
"6","6","166","Richmond Road","Dalston","","93-119 Odd","RG 12/195","47-48
"
"6","6","167","Richmond Road","Dalston","","Chapel House, Richmond Road","RG 12/191","10-11
"
"6","6","168","Richmond Villas","pt London Terrace","","","RG 12/194","111-112
"
"6","6","169","Ridley Road","Dalston Lane","","1-57","RG 12/187","50-57
"
"6","6","170","Ridley Road","Dalston Lane","","58-79","RG 12/187","72-74
"
"6","6","171","Riseholme Street","Cadogan Terrace","","Odd Nos","RG 12/207","77-78
"
"6","6","172","Riseholme Street","Cadogan Terrace","was pt Wick Lane","Even Nos","RG 12/207","93-94
"
"6","6","173","Ritson Road","Dalston Lane","","","RG 12/193","24-26
"
"6","6","174","River Lea and Hackney Cut","Lock House at Cow Bridge","was Pond Lane Bridge","","RG 12/200","5
"
"6","6","175","River Lea and Hackney Cut","Lock House at Cow Bridge","was Pond Lane Bridge","Brick Lock Cottage, River Lea and Hackney Cut","RG 12/200","75
"
"6","6","176","River Lea and Hackney Cut","Lock House at Cow Bridge","was Pond Lane Bridge","Cut Side","RG 12/202","120
"
"6","6","177","River Lea and Hackney Cut","Lock House at Cow Bridge","was Pond Lane Bridge","Temple Mills, River Lea and Hackney Cut","RG 12/201","58
"
"6","6","178","Robinsons Retreat","Retreat Place","","","RG 12/201","110
"
"6","6","179","Rochester Place","Stoke Newington High Street","","","RG 12/180","85
"
"6","6","180","Rock Road","Blinco Road","","","RG 12/200","70
"
"6","6","181","Rockmead Road","Wetherell Road","","","RG 12/206","134-136
"
"6","6","182","Roding Road","Homerton High Street","","","RG 12/201","90-93
"
"6","6","183","Rookwood Road","Clapton Common","","","RG 12/182","24-25
"
"6","6","184","Rose Cottage","Chapel Road","","","RG 12/183","184
"
"6","6","185","Rose Cottages","Lyme Grove","","","RG 12/195","102-103
"
"6","6","186","Roseberry Place","Dalston Lane","","","RG 12/188","39-43
"
"6","6","187","Rosina Street & Cottage","Homerton High St","","","RG 12/202","45-49
"
"6","6","188","Rossington Street","Upper Clapton Road","","","RG 12/182","77-81
"
"6","6","189","Rumbals Cottages","High Hill Ferr,","","unoccupied, Rumbals Cottages, Rumbals Cottages","RG 12/183","158
"
"6","6","190","Rushmore Crescent","Rushmore Road","","","RG 12/198","135-136
"
"6","6","191","Rushmore Road","Powerscroft Road","","1-63 Odd","RG 12/198","64-67
"
"6","6","192","Rushmore Road","Powerscroft Road","","143-173 Odd","RG 12/199","122-124
"
"6","6","193","Rushmore Road","Powerscroft Road","","144-184 Even","RG 12/199","124-127
"
"6","6","194","Rushmore Road","Powerscroft Road","","175-203 Odd","RG 12/200","50-52
"
"6","6","195","Rushmore Road","Powerscroft Road","","186-208 Even","RG 12/200","49-50
"
"6","6","196","Rushmore Road","Powerscroft Road","","2-60 Even","RG 12/198","61-63
"
"6","6","197","Rushmore Road","Powerscroft Road","","62-84 Even","RG 12/198","136-138
"
"6","6","198","Rushmore Road","Powerscroft Road","","62A-68A Even","RG 12/198","63-64
"
"6","6","199","Rushmore Road","Powerscroft Road","","65-85 Odd","RG 12/198","138-139
"
"6","6","200","Rushmore Road","Powerscroft Road","","86-142 Even","RG 12/199","48-52
"
"6","6","201","Rushmore Road","Powerscroft Road","","87-139 Odd","RG 12/199","4-7
"
"6","6","202","Rustic Cottage","pt Homerton Terrace","","","RG 12/202","23-24, 25-26
"
"6","6","203","Ruthven Street","Lauriston Road","","","RG 12/207","18-19
"
"6","6","204","Rutland Road","Lauriston Road","","","RG 12/206","19-25
"
