"3","4","1","Jacksons Buildings","Worlds End Passage","","","RG 12/65","34
"
"3","4","35","Kilravock Street","Sixth Avenue","","96-120 Even","RG 12/55","47-48
"
"3","4","36","Kilravock Street","Sixth Avenue","","99-123 Odd","RG 12/55","46-47
"
"3","4","37","Kimbolton Row","Fulham Road","","","RG 12/59","87
"
"3","4","38","King Street","Cale Street","","","RG 12/59","129-133
"
"3","4","39","Kings Road","Chelsea","","145-165 Odd","RG 12/64","4-5
"
"3","4","40","Kings Road","Chelsea","","148-176 Even","RG 12/59","156-157
"
"3","4","41","Kings Road","Chelsea","","167-173 Odd","RG 12/64","52-53
"
"3","4","42","Kings Road","Chelsea","","17-29 Odd","RG 12/63","2
"
"3","4","43","Kings Road","Chelsea","","178-198 Even","RG 12/59","144-146
"
"3","4","44","Kings Road","Chelsea","","181-209 Odd","RG 12/64","53-54
"
"3","4","45","Kings Road","Chelsea","","2-32 Even","RG 12/62","87-90
"
"3","4","46","Kings Road","Chelsea","","200-242 Even","RG 12/59","148-150
"
"3","4","47","Kings Road","Chelsea","","211-277 Odd","RG 12/64","81-83
"
"3","4","48","Kings Road","Chelsea","","244-250 Even","RG 12/59","79
"
"3","4","49","Kings Road","Chelsea","","258-298 Even","RG 12/59","30-32
"
"3","4","50","Kings Road","Chelsea","","279-289 Odd","RG 12/64","136-137
"
"3","4","51","Kings Road","Chelsea","","291-411 Odd","RG 12/64","141-146
"
"3","4","52","Kings Road","Chelsea","","300-346 Even","RG 12/58","131-132
"
"3","4","53","Kings Road","Chelsea","","33 Whitelands Training College, Kings Road","RG 12/63","50-53
"
"3","4","54","Kings Road","Chelsea","","34-70 Even","RG 12/60","142-144
"
"3","4","55","Kings Road","Chelsea","","348-440 Even","RG 12/58","89-93
"
"3","4","56","Kings Road","Chelsea","","37-67 Odd","RG 12/63","53-54
"
"3","4","57","Kings Road","Chelsea","","413-458 Odd","RG 12/65","29-31
"
"3","4","58","Kings Road","Chelsea","","442-490 Even","RG 12/58","48-51
"
"3","4","59","Kings Road","Chelsea","","459 Worlds End Public House, Kings Road","RG 12/65","31
"
"3","4","60","Kings Road","Chelsea","","461-469 Odd Do not exist","","
"
"3","4","61","Kings Road","Chelsea","","470 Even","RG 12/58","79
"
"3","4","62","Kings Road","Chelsea","","471-487 Odd","RG 12/65","56-57
"
"3","4","63","Kings Road","Chelsea","","492-544 Even","RG 12/58","23-25
"
"3","4","64","Kings Road","Chelsea","","493-539 Odd","RG 12/66","73-75
"
"3","4","65","Kings Road","Chelsea","","71-143 Odd","RG 12/63","105-108
"
"3","4","66","Kings Road","Chelsea","","72-146 Even","RG 12/60","6-9
"
"3","4","67","Kings Road","Chelsea","","Royal Military Asylum, Kings Road","RG 12/66","125-140
"
"3","4","68","Kings Road","Chelsea","","Town Hall, Kings Road","RG 12/64","53
"
"3","4","69","Kings Road","Chelsea","Back of 181 Odd","181 Odd","RG 12/64","66
"
"3","4","70","Kings Road","Chelsea","Continued In FULHAM District","Even, Kings Road","","
"
"3","4","71","Kings Road","Chelsea","Do not exist or uninhabited","1-16 Odd","","
"
"3","4","72","Kings Road","Chelsea","continued in FULHAM District","Odd, Kings Road","","
"
"3","4","73","Lacland Cottages and Terrace","Kings Road","","","RG 12/65","39-40
"
"3","4","74","Lamont Road","Langton Street","","1-9 Odd","RG 12/58","106
"
"3","4","75","Lamont Road","Langton Street","","11-59 Odd","RG 12/58","61-66
"
"3","4","76","Lamont Road","Langton Street","","12-60 Even","RG 12/58","57-61
"
"3","4","77","Lamont Road","Langton Street","","2-10 Even","RG 12/58","106-107
"
"3","4","78","Lancefield Street","Kilburn Lane","","1-151 Odd","RG 12/55","142-154
"
"3","4","79","Lancefield Street","Kilburn Lane","","124-146 Even","RG 12/55","198-199
"
"3","4","80","Lancefield Street","Kilburn Lane","","2-56 Even","RG 12/55","154-158
"
"3","4","81","Lancefield Street","Kilburn Lane","Missing after f 199 ED 3","58-122 Even","RG 12/55","
"
"3","4","82","Langton Street","Kings Road","","","RG 12/58","51-57
"
"3","4","83","Lawrence Street","Cheyne Row","","1-16","RG 12/64","104-106
"
"3","4","84","Lawrence Street","Cheyne Row","","17-24","RG 12/64","98-100
"
"3","4","85","Lawrence Street","Cheyne Row","","Peabody Buildings, Lawrence Street","RG 12/64","94-98
"
"3","4","86","Leader Street","Keppel Street","","1-29 Odd","RG 12/60","97-98
"
"3","4","87","Leader Street","Keppel Street","","103 Odd","RG 12/59","96
"
"3","4","88","Leader Street","Keppel Street","","2-36 Even","RG 12/60","96-97
"
"3","4","89","Leader Street","Keppel Street","","33-101 Odd","RG 12/59","89-92
"
"3","4","90","Leader Street","Keppel Street","","40-96 Even","RG 12/59","92-96
"
"3","4","91","Leete Street","Kings Road","","30","RG 12/62","90
"
"3","4","92","Leete Street","Kings Road","","7-13 Odd","RG 12/60","142
"
"3","4","93","Leete Street","Kings Road","","Cowpers Mansions and Lodge, Leete Street","RG 12/60","142
"
"3","4","94","Lennox Gardens and Mews","Walton Street","","","RG 12/61","91-98
"
"3","4","95","Leverett Street","Green Street","","1-5 Consecutive","RG 12/60","138-139
"
"3","4","96","Leverett Street","Green Street","","19-25 Odd","RG 12/61","28
"
"3","4","97","Leverett Street","Green Street","","6-18 Even","RG 12/61","27-28
"
"3","4","98","Leverett Street","Green Street","","7-17 Odd","RG 12/60","139
"
"3","4","99","Limerston Street","Kings Road","","Even Numbers","RG 12/58","43-48
"
"3","4","100","Limerston Street","Kings Road","","Odd Numbers","RG 12/58","93-98
"
"3","4","101","Lincoln Street","Kings Road","","","RG 12/60","19-21
"
"3","4","102","Little Blenheim Street","Cale Street","Including Rose Cottage","","RG 12/59","154-155
"
"3","4","103","Little Cadogan Place","Pont Street","Numbers Irregular and mixed","","RG 12/62","38-41
"
"3","4","104","Little Camera Street","Beaufort Street","","","RG 12/58","120-123
"
"3","4","105","Little College Street","Cale Street","","pt of 4 Marlborough Chambers","RG 12/59","94, 113
"
"3","4","106","Little College Street","Cale Street","Numbers mixed and duplicated","1-23","RG 12/59","107-111
"
"3","4","107","Little Exeter Street","","","","RG 12/61","123-124
"
"3","4","108","Little Keppel Street","","","","RG 12/60","95-96
"
"3","4","109","Little Orford Street and Orford Street","Marlborough Street","","","RG 12/60","119-126
"
"3","4","110","Little Smith Street","Kings Road","See Smith Street","","",""
"3","4","111","London Female Reformatory","","","Maude Grove2","RG 12/58","10-11
"
"3","4","112","Lordship Place","Cheyne Row","","","RG 12/64","93-94
"
"3","4","113","Lothrop Street","Sixth Avenue","","1-93 Odd","RG 12/55","99-104
"
"3","4","114","Lothrop Street","Sixth Avenue","","2-90 Even","RG 12/55","104-108
"
"3","4","115","Lothrop Street","Sixth Avenue","","92-118 Even","RG 12/55","45-46
"
"3","4","116","Lothrop Street","Sixth Avenue","","95-119 Odd","RG 12/55","44-45
"
"3","4","117","Lots Road","Cheyne Walk","","","RG 12/66","3-25
"
"3","4","118","Lower Sloane Street","Sloane Square","","2-118 Even","RG 12/63","19-24
"
"3","4","119","Lower Sloane Street","Sloane Square","","69-95 Odd","RG 12/63","11-14
"
"3","4","120","Lower Sloane Street","Sloane Square","No other numbers","","",""
"3","4","121","Lowndes Square","Sloane Street","","","RG 12/62","50-56
"
"3","4","122","Lowndes Street","","","15-27","RG 12/62","58-59
"
"3","4","123","Lowndes Street","","","27A-31","RG 12/62","42
"
"3","4","124","Lowndes Street","","","32-44","RG 12/71","36-37
"
"3","4","125","Lowndes Street","","","Cadogan Place, Lowndes Street, 1-14","RG 12/71","37-39
"
"3","4","126","Luna Street","Cheyne Walk","","30","RG 12/65","52
"
"3","4","127","Luna Street","Cheyne Walk","Remainder","","RG 12/65","14-22
"
