"4","4","1","Jacksons Yard","Imperial Road","","","RG 12/52","30
"
"4","4","28","King Street","Hammersmith","","197-305 Odd","RG 12/35","39-43
"
"4","4","29","King Street","Hammersmith","","2-10 Even","RG 12/37","7-8
"
"4","4","30","King Street","Hammersmith","","232-276 Even","RG 12/35","129-130
"
"4","4","31","King Street","Hammersmith","","26-28 Even","RG 12/37","33-36
"
"4","4","32","King Street","Hammersmith","","292-368 Even","RG 12/35","131-134
"
"4","4","33","King Street","Hammersmith","","307-379 Odd","RG 12/35","3-5
"
"4","4","34","King Street","Hammersmith","","359A Odd","RG 12/35","35
"
"4","4","35","King Street","Hammersmith","","84-172 Even","RG 12/37","78-82
"
"4","4","36","King Street","Hammersmith","","95-143 Odd","RG 12/36","180-182
"
"4","4","37","King Street","Hammersmith","","Broadway Buildings, King Street","RG 12/37","33
"
"4","4","38","King Street","Hammersmith","","Hamlet House and Grove Place Laundry, King Street","RG 12/35","130-131
"
"4","4","39","King Street","Hammersmith","","Poor Law School, King Street, 253","RG 12/35","158-161
"
"4","4","40","King Street","Hammersmith","","Smiths Almshouses, King Street","RG 12/36","168
"
"4","4","41","King Street","Hammersmith","King Street East is now part of Hammersmith Road","","",""
"4","4","42","King Street","Hammersmith","King Street West is now King Street","","",""
"4","4","43","King Street","Hammersmith","One page MISSING at end","Marlesford Lodge, King Street","","
"
"4","4","44","Kings Road","Fulham","North Side","554-612 Even","RG 12/51","91-94
"
"4","4","45","Kings Road","Fulham","North Side","614-648 Even","RG 12/51","121-123
"
"4","4","46","Kings Road","Fulham","North Side","Dilston Parade","RG 12/53","109
"
"4","4","47","Kings Road","Fulham","North Side","Draycott Terrace and Lodge and Laurel Ho","RG 12/53","137
"
"4","4","48","Kings Road","Fulham","North Side","Hurlingham Buildings and Market Place, Kings Road","RG 12/53","135-137
"
"4","4","49","Kings Road","Fulham","North Side","St Dionis Terrace, Kings Road","RG 12/53","133-135
"
"4","4","50","Kings Road","Fulham","South Side","Newman Terrace and York House, Kings Road","RG 12/54","111
"
"4","4","51","Kings Road","Fulham","South Side","539-635 Odd","RG 12/52","5-10
"
"4","4","52","Kings Road","Fulham","South Side","Clovelly Terrace, Kings Road","RG 12/53","6-7
"
"4","4","53","Kings Road","Fulham","South Side","Eelbrook Pavement","RG 12/52","34
"
"4","4","54","Kings Road","Fulham","South Side","Elysium Row, Kings Road","RG 12/54","77-78
"
"4","4","55","Kings Road","Fulham","South Side","Jasmine and Burlington Houses, Kings Road, 1-4","RG 12/54","77
"
"4","4","56","Kings Road","Fulham","South Side","Kings Terrace, Kings Road","RG 12/51","166
"
"4","4","57","Kings Road","Fulham","South Side","Large Names Houses, Kings Road","RG 12/53","7
"
"4","4","58","Kings Road","Fulham","South Side","Lewis House, Kings Road","RG 12/54","101-102
"
"4","4","59","Kings Road","Fulham","South Side","Lovaine Terrace, Kings Road","RG 12/53","15
"
"4","4","60","Kings Road","Fulham","South Side","Peterborough Farm, Kings Road","RG 12/53","6
"
"4","4","61","Kings Road","Fulham","South Side","Peterborough House Asylum, Kings Road","RG 12/53","7-8
"
"4","4","62","Kings Road","Fulham","South Side","Pitt Place, Aragon House and Gosport Lodge, Kings Road","RG 12/54","8-9
"
"4","4","63","Kings Road","Fulham","South Side","Pomona Place, Kings Road","RG 12/53","4-6
"
"4","4","64","Kings Road","Fulham","South Side","Ranelagh Villas, Kings Road","RG 12/54","98-99
"
"4","4","65","Kings Road","Fulham","South Side","Stralock Terrace, Kings Road","RG 12/54","9-11
"
"4","4","66","Kings Road","Fulham","The unnumbered parts are also known as New Kings Road","","",""
"4","4","67","Kings Road","Fulham,","Continuation of Kings Road, Chelsea","","",""
"4","4","68","Kings Terrace","Pt. Kings Road","","","RG 12/51","166
"
"4","4","69","Kinnear Road","Stronsa Road","MISSING after fo 192 ED 42 RG 12/41","","",""
"4","4","70","Kinnoul Road","Greyhound Road","","","RG 12/47","86-92
"
"4","4","71","Kippers Cottages","Mulgrave Road","MISSING after fo 174 ED 29 RG 12/49","","",""
"4","4","72","Knivet Road","Halford Road","","","RG 12/51","14-17
"
"4","4","73","Lalor Street","Fulham Palace Road","","","RG 12/54","63-64
"
"4","4","74","Lamington Street","Glenthorne Road","","","RG 12/38","83-84
"
"4","4","75","Landor Road","Askew Road","","","RG 12/41","131-132
"
"4","4","76","Landridge Road","Fulham Road","","","RG 12/54","87-88
"
"4","4","77","Lanfrey Place","North End Road","","","RG 12/46","25-27
"
"4","4","78","Langford Road","Wandsworth Bridge Road","","","RG 12/52","60-69
"
"4","4","79","Langley Cottage","St James Street","","","RG 12/36","102
"
"4","4","80","Larden Road","Acton Vale, Cobbold Road","Remainder in Chiswick Sub District Brentford RG 12/1035","","",""
"4","4","81","Larden Road","Acton Vale, Cobbold Road","Southern end MISSING after fo 192 ED 42 RG 12/41","","",""
"4","4","82","Latimer Road","","","10-46 Even","RG 12/43","117-119
"
"4","4","83","Latimer Road","","","154-246 Even","RG 12/44","4-8
"
"4","4","84","Latimer Road","","","250-308 Even","RG 12/44","46-50
"
"4","4","85","Latimer Road","","","310-330 Even","RG 12/44","41-43
"
"4","4","86","Latimer Road","","","48-150 Even","RG 12/43","142-148
"
"4","4","87","Latimer Road","","","Jubilee Mission Hall, Latimer Road","RG 12/44","50
"
"4","4","88","Latimer Road","","","Latimer Arms Public House Watmer Road","RG 12/24","28
"
"4","4","89","Latimer Road","","","Norland Road","RG 12/43","80
"
"4","4","90","Latimer Road","","","2-8 Even","RG 12/22","154
"
"4","4","91","Latimer Road and Mews","","","1-43 Odd","RG 12/43","115-117
"
"4","4","92","Latimer Road and Mews","","","167-185 Odd do not exist","","
"
"4","4","93","Latimer Road and Mews","","","187-285A Odd","RG 12/44","8-15
"
"4","4","94","Latimer Road and Mews","","","287-493 Odd","RG 12/44","27-38
"
"4","4","95","Latimer Road and Mews","","","45-165 Odd","RG 12/43","137-142
"
"4","4","96","Latimer Road and Mews","","MISSING after fo 205 ED 34 RG 12/23","Mews, Latimer Road and Mews, Latimer Road and Mews","","
"
"4","4","97","Laundry Road","Lillie Road","Only one side built up","","RG 12/47","49-54
"
"4","4","98","Laundry Terrace","Pt. Lillie Road","","","RG 12/47","108
"
"4","4","99","Lawn Terrace","North End Road","","","RG 12/45","44-46
"
"4","4","100","Leffern Road","Melina Road","","","RG 12/40","160-166
"
"4","4","101","Lefroy Road","Cobbold Road","MISSING after fo 192 ED 42 RG 12/41","","",""
"4","4","102","Lena Gardens","Shepherds Bush Road","MISSING after fo 207 ED 28 RG 12/39","","",""
"4","4","103","Letchford Gardens and Mews","Harrow Road, Kensal Green","","","RG 12/44","88-94
"
"4","4","104","Letterstone Road","Filmer Road","","","RG 12/49","35-38
"
"4","4","105","Lettice Street","Munster Road","","","RG 12/53","58
"
"4","4","106","Leysfield Road and Villas","Goldhawk Road","","","RG 12/40","158-160
"
"4","4","107","Lillie Bridge Mews","Seagrave Road","","","RG 12/50","178
"
"4","4","108","Lillie Road","","North Side","168-204 Even","RG 12/46","138-139
"
"4","4","109","Lillie Road","","North Side","2-86 Even","RG 12/45","115-119
"
"4","4","110","Lillie Road","","North Side","88-166 Even","RG 12/46","84-88
"
"4","4","111","Lillie Road","","North Side","Langrish; Oxford. Lillie, Ivy and Holly Houses, Lillie Road","RG 12/46","137-138
"
"4","4","112","Lillie Road","","North Side","Maud Cottage, Halfway House, Lillie Road","RG 12/47","54
"
"4","4","113","Lillie Road","","North Side","Oakley Lodge, Lillie Road","RG 12/47","108
"
"4","4","114","Lillie Road","","North Side","Queen Anne Terrace, Lillie Road","RG 12/47","54
"
"4","4","115","Lillie Road","","North Side","Seafield, Laundry and Church Terraces, Lillie Road","RG 12/47","106-108
"
"4","4","116","Lillie Road","","North Side","The Parade 1-7 and Fulham Cross","RG 12/48","32-33
"
"4","4","117","Lillie Road","","South Side","1-9 Odd not found","","
"
"4","4","118","Lillie Road","","South Side","11-91 Odd","RG 12/50","161-165
"
"4","4","119","Lillie Road","","South Side","157-193 Odd","RG 12/49","113-115
"
"4","4","120","Lillie Road","","South Side","93-155 Odd","RG 12/49","134-136
"
"4","4","121","Lillie Road","","South Side","Emily Terrace, Lillie Road","RG 12/48","51-52
"
"4","4","122","Lillie Road","","South Side","Gorden, Neville and Melrose Terraces, Lillie Road","RG 12/48","94-97
"
"4","4","123","Lillie Road","","South Side","Lillie Arms Public House Lodge and Stables, Lillie Road","RG 12/50","161-162
"
"4","4","124","Lillie Road","","South Side","New Crown Terrace, Lillie Road","RG 12/48","64-67
"
"4","4","125","Lillie Road","","South Side","Pellant and Spencer Terrace, Lillie Road","RG 12/48","93-94
"
"4","4","126","Lillie Road","","South Side","The Parade 1A-8A","RG 12/48","45-46
"
"4","4","127","Lillie Yard","Lillie Road","","","RG 12/46","137-138
"
"4","4","128","Lilyville Road","","","Even Nos.","RG 12/49","79-81
"
"4","4","129","Lilyville Road","Bishops Road","","Odd Nos.","RG 12/49","54-57
"
"4","4","130","Lime Grove","Uxbridge Road","","","RG 12/43","13-15
"
"4","4","131","Lintaine Grove and Flats","Normand Road","","","RG 12/46","130-137
"
"4","4","132","Linver Road","Kings Road","","","RG 12/53","13-18
"
"4","4","133","Lisgar Terrace","Avonmore Road","","","RG 12/45","20-22
"
"4","4","134","Lodge Avenue","Fulham Road","","","RG 12/50","102-107
"
"4","4","135","Loftus Road and Villas","Uxbridge Road","","","RG 12/42","107-116
"
"4","4","136","Loris Road","Batoum Gardens","MISSING after fo 207 ED 28 RG 12/39","","",""
"4","4","137","Lovaine Terrace","Pt. Kings Road","","","RG 12/53","15
"
"4","4","138","Lower Mall","","","8-43","RG 12/36","177-180
"
"4","4","139","Lower Mall","","","Cove Cottages, Rigby House, The Priory, Lower Mall, 4-7","RG 12/36","176-177
"
"4","4","140","Lower Mall","","","Friends Meeting House, Lower Mall","RG 12/36","179
"
"4","4","141","Lower Mall","","","Ivy Cottage and House 1-2 and 3","RG 12/36","133
"
"4","4","142","Lower Mall","","","London Sailing Club","RG 12/36","180
"
"4","4","143","Lucketts Cottages","Brook Green Road","","","RG 12/36","188
"
"4","4","144","Lurgan Avenue","Greyhound Road","","","RG 12/47","142-148
"
"4","4","145","Lurgan Street and House","Montgomery Street","","","RG 12/36","57-60
"
"4","4","146","Lycett Place","Becklow Road","","","RG 12/41","102-103
"
