"10","3","1","Gadsden Mews","Adair Road","","","RG 12/29","97-98
"
"10","3","90","Harcourt Terrace","","Remainder are Hollywood Road","16-46 Even","RG 12/31","75-76
"
"10","3","91","Harley Gardens","Priory Grove","","","RG 12/31","15-16
"
"10","3","92","Harrington Gardens","Gloucester Road","","1-25 Odd","RG 12/32","109-111
"
"10","3","93","Harrington Gardens","Gloucester Road","","2-26 Even","RG 12/32","111-113
"
"10","3","94","Harrington Gardens","Gloucester Road","","27-75 Odd","RG 12/33","47-50
"
"10","3","95","Harrington Gardens","Gloucester Road","","28-50 Even","RG 12/33","51-52
"
"10","3","96","Harrington Gardens","Gloucester Road","","Gloucester Mansions","RG 12/32","109
"
"10","3","97","Harrington Road","Queens Gate","","","RG 12/32","28-36
"
"10","3","98","Harrow Road","","","599-625 Odd","RG 12/24","83-84
"
"10","3","99","Harrow Road","","","Alma Cottages and Bennetts Terrace, Harrow Road","RG 12/24","82-83
"
"10","3","100","Harrow Road","","","St Marys Terrace and Masons Arms Public House, Harrow Road","RG 12/24","81-82
"
"10","3","101","Harrow Road","","","The Plough, no 599","RG 12/24","83
"
"10","3","102","Harrow Road","","Small part in HAMMERSMITH: All In","Alma Place and Manor House, Harrow Road","RG 12/44","107-111
"
"10","3","103","Harrow Road","","Small part in HAMMERSMITH: All In","College Park Hotel and Villas, Harrow Road","RG 12/44","107-111
"
"10","3","104","Harrow Road","","Small part in HAMMERSMITH: All In","Kenmont and Richmond Terraces, Harrow Road","RG 12/44","107-111
"
"10","3","105","Harrow Road","","Small part in HAMMERSMITH: All In","St Marys RC Cemetery Lodges and Terraces, Harrow Road","RG 12/44","107-111
"
"10","3","106","Harrow Road","","see CHELSEA District","423-597 Odd","","
"
"10","3","107","Harrow Road","","see CHELSEA District Remainder in HENDON District Willesden","572-742 Even","","
"
"10","3","108","Harrow Road","","see PADDINGTON District","1-421 Odd","","
"
"10","3","109","Harrow Road","","see PADDINGTON District","2-570 Even","","
"
"10","3","110","Harrow Road","","","1-69 Odd","RG 12/3","35-38
"
"10","3","111","Harrow Road","","","149-175 Odd","RG 12/4","98-100
"
"10","3","112","Harrow Road","","","176-194 Even","RG 12/2","108
"
"10","3","113","Harrow Road","","","183-251 Odd","RG 12/1","3-6
"
"10","3","114","Harrow Road","","","196-262 Even","RG 12/1","78-81
"
"10","3","115","Harrow Road","","","2-50 Even","RG 12/3","61
"
"10","3","116","Harrow Road","","","253-281 Odd","RG 12/1","39-40
"
"10","3","117","Harrow Road","","","264-322 Even","RG 12/1","116-119
"
"10","3","118","Harrow Road","","","285-319 Odd","RG 12/7","92-94
"
"10","3","119","Harrow Road","","","321-351 Odd","RG 12/10","3-5
"
"10","3","120","Harrow Road","","","324-360 Even","RG 12/7","17-19
"
"10","3","121","Harrow Road","","","353-411 Odd","RG 12/9","12-14
"
"10","3","122","Harrow Road","","","362-478 Even","RG 12/7","87-92
"
"10","3","123","Harrow Road","","","413-421 Odd","RG 12/9","36
"
"10","3","124","Harrow Road","","","423-495 Odd","RG 12/56","82-85
"
"10","3","125","Harrow Road","","","480-518 Even","RG 12/8","122-124
"
"10","3","126","Harrow Road","","","497-513 Odd","RG 12/56","12-13
"
"10","3","127","Harrow Road","","","515-597 Odd","RG 12/56","29-31
"
"10","3","128","Harrow Road","","","52-110 Even","RG 12/4","94-98
"
"10","3","129","Harrow Road","","","520-538 Even","RG 12/9","15
"
"10","3","130","Harrow Road","","","540-570 Even","RG 12/9","36-38
"
"10","3","131","Harrow Road","","","572-664 Even","RG 12/56","77-82
"
"10","3","132","Harrow Road","","","690-742 Even","RG 12/56","31-38
"
"10","3","133","Harrow Road","","","71-147 Odd","RG 12/3","61-66
"
"10","3","134","Harrow Road","","","Alma Cottages and Bennetts Terrace, Harrow Road","RG 12/24","82-83
"
"10","3","135","Harrow Road","","","Blomfield Terrace 134-174 Even","RG 12/4","108-110
"
"10","3","136","Harrow Road","","","Bridge House and Jewish Schools, Harrow Road, 177-179","RG 12/4","117
"
"10","3","137","Harrow Road","","","College Park Hotel, Kenmont and Richmond Tee","RG 12/44","107-110
"
"10","3","138","Harrow Road","","","Library and 668-688 Even","RG 12/56","13-14
"
"10","3","139","Harrow Road","","","Lock Hospital and Poor Law Infirmary, Harrow Road","RG 12/12","100-114
"
"10","3","140","Harrow Road","","","Paddington Workhouse, Harrow Road","RG 12/12","123-127
"
"10","3","141","Harrow Road","","","Plough Inn 599-625 Odd","RG 12/24","83-84
"
"10","3","142","Harrow Road","","","Police Station, Harrow Road","RG 12/4","100-101
"
"10","3","143","Harrow Road","","","Red Lion PH","RG 12/2","132
"
"10","3","144","Harrow Road","","","St James Terrace and Howley Lodge 112-132 Even","RG 12/4","108
"
"10","3","145","Harrow Road","","","St Marys Roman Catholic Cemetery Lodge and Terrace, Harrow Road","RG 12/44","110
"
"10","3","146","Harrow Road","","","St Marys Terrace, Manor Arms PH","RG 12/24","81-82
"
"10","3","147","Harrow Road","","","Trinity Schools, Harrow Road","RG 12/2","132
"
"10","3","148","Harrow Road","","","Vestry Hall, Harrow Road","RG 12/4","62
"
"10","3","149","Harrow Road","","continued in HENDON District (Willesden)","Manor House and College Park Villa and Alma PIace","RG 12/44","110-111
"
"10","3","150","Hasborough Street","Westbourne Terrace North","","","RG 12/1","98-100
"
"10","3","151","Hatherley Grove","Westbourne Grove","","","RG 12/12","55-61
"
"10","3","152","Haydon Mews","Portobello Road","","","RG 12/27","39
"
"10","3","153","Hazelwood Crescent","Golborne Road","","Even Nos","RG 12/28","41-49
"
"10","3","154","Hazelwood Crescent","Golborne Road","","Odd Nos","RG 12/29","75-78
"
"10","3","155","Heathfield Street","Portland Road","formerly Cottages","","RG 12/22","102-104
"
"10","3","156","Hereford House","Bolton Gardens","","","RG 12/31","32
"
"10","3","157","Hereford Road and Mews","Westbourne Grove","","1-3 Odd","RG 12/17","71
"
"10","3","158","Hereford Road and Mews","Westbourne Grove","","2-22 Even","RG 12/17","71
"
"10","3","159","Hereford Road and Mews","Westbourne Grove","","24-106 Even","RG 12/12","4-9
"
"10","3","160","Hereford Road and Mews","Westbourne Grove","","24A, B and 26A Even","RG 12/17","71
"
"10","3","161","Hereford Road and Mews","Westbourne Grove","","43-109 Odd","RG 12/12","9-13
"
"10","3","162","Hereford Road and Mews","Westbourne Grove","","5-39 Odd","RG 12/17","97-99
"
"10","3","163","Hereford Road and Mews","Westbourne Grove","","Mews, Hereford Road and Mews, Hereford Road and Mews","RG 12/12","25
"
"10","3","164","Hereford Square","Gloucester Road","","","RG 12/32","95-97
"
"10","3","165","Hermitage Street","Harrow Road","","","RG 12/3","71-76
"
"10","3","166","Hero Place","Edgware Road","","","RG 12/3","107
"
"10","3","167","Hesketh Place","Walmer Road","","","RG 12/23","81-84
"
"10","3","168","Hesper Mews","Bramham Gardens","","","RG 12/33","41-43
"
"10","3","169","Hethpool Street","Cuthbert Street","","","RG 12/4","62-71
"
"10","3","170","Hewer Street","Raymede Street","including Notting Hill Steam Laundry","","RG 12/24","119-122
"
"10","3","171","Hewitts Stables","Iron Gate Wharf Road","","","RG 12/3","42
"
"10","3","172","High Row","pt of Silver Street","","","RG 12/19","136-137
"
"10","3","173","Highlever Road","St Quintin Avenue","","","RG 12/24","5-8
"
"10","3","174","Hill Lodge and Cottage","New Road","","","RG 12/20","25
"
"10","3","175","Hillside","New Road","","","RG 12/20","25
"
"10","3","176","Hogarth Place","Hogarth Road","was South Row","","RG 12/33","165-166
"
"10","3","177","Hogarth Road","Earls Court Road","","","RG 12/33","152-158
"
"10","3","178","Holland House Gate Lodge","Mel bury Road","","","RG 12/20","165
"
"10","3","179","Holland House and Lodge","Campden Hill","","","RG 12/20","137
"
"10","3","180","Holland Park Avenue","","see Uxbridge Road","","",""
"10","3","181","Holland Park Farm Dairy","Melbury Road","","","RG 12/20","164
"
"10","3","182","Holland Park Gardens","pt of Uxbridge Road","including The Limes and Kensington Academy for Girls","","RG 12/20","173-178
"
"10","3","183","Holland Park Road","Addison Road","Including St Albans Cottages, Catherine Cottages and Terrace, 1-3 and Stables, The Studios Rlding School and Rowsley House","","RG 12/20","166-169
"
"10","3","184","Holland Park Terrace","pt of Uxbridge Rd","","1-18","RG 12/20","18-20
"
"10","3","185","Holland Park Terrace","pt of Uxbridge Rd","","Osborne House, Holland Park Terrace, 19","RG 12/20","14
"
"10","3","186","Holland Park and Mews","Campden Hill","","","RG 12/20","4-18
"
"10","3","187","Holland Place and Chambers","Holland Street","","","RG 12/20","95-97
"
"10","3","188","Holland Road and Mews","Uxbridge Road to Kensington Road","","1-107 Odd","RG 12/20","191-195
"
"10","3","189","Holland Road and Mews","Uxbridge Road to Kensington Road","","109-161 Odd","RG 12/21","38-40
"
"10","3","190","Holland Road and Mews","Uxbridge Road to Kensington Road","","163-181 Odd","RG 12/39","193-194
"
"10","3","191","Holland Road and Mews","Uxbridge Road to Kensington Road","","168-216 Even","RG 12/21","40-42
"
"10","3","192","Holland Road and Mews","Uxbridge Road to Kensington Road","","2-34 Even","RG 12/20","195-197
"
"10","3","193","Holland Road and Mews","Uxbridge Road to Kensington Road","","40-166 Even","RG 12/21","4-11
"
"10","3","194","Holland Road and Mews","Uxbridge Road to Kensington Road","","Mews, Holland Road and Mews, Holland Road and Mews","RG 12/20","197-198
"
"10","3","195","Holland Street","Church Street","","Even Nos","RG 12/20","97-99
"
"10","3","196","Holland Street","Church Street","","Odd Nos","RG 12/20","103-105
"
"10","3","197","Holland Villas Road","Holland Road","","1-20","RG 12/21","15-17
"
"10","3","198","Holland Villas Road","Holland Road","","21-38","RG 12/21","12-13
"
"10","3","199","Holly Lodge and Stables","Campden Hill","","","RG 12/20","124-125
"
"10","3","200","Holly Mews","Drayton Gardens","","","RG 12/31","4-5
"
"10","3","201","Holly Terrace","Drayton Gardens","","pt, Holly Terrace, 1","RG 12/31","5
"
"10","3","202","Holly Terrace","Drayton Gardens","Remainder MISSING fs 5-6, ED 9 pp 5-6","","",""
"10","3","203","Hollywood Road and Mews","Fulham Road","","1-55 Odd","RG 12/31","71-73
"
"10","3","204","Hollywood Road and Mews","Fulham Road","","2-14 Even","RG 12/31","73-74
"
"10","3","205","Hollywood Road and Mews","Fulham Road","","Harcourt Terrace 16-46 Even","RG 12/31","75-76
"
"10","3","206","Hollywood Road and Mews","Fulham Road","","Harcourt Terrace 57-89 Odd","RG 12/31","76-78
"
"10","3","207","Hollywood Road and Mews","Fulham Road","","Hollywood and Grove Houses, Hollywood Road and Mews","RG 12/31","74
"
"10","3","208","Hollywood Road and Mews","Fulham Road","","Mews, Hollywood Road and Mews, Hollywood Road and Mews","RG 12/31","74
"
"10","3","209","Holmes Cottages","Poplar Place","","","RG 12/16","128
"
"10","3","210","Holmes Place","Fulham Road","","","RG 12/31","42
"
"10","3","211","Homes, Asylums & Orphanages","","","Alexandra House Students Home, Kensington Gore","RG 12/18","30-31
"
"10","3","212","Homes, Asylums & Orphanages","","","Lock Hospital Asylum, Homes, Asylums & Orphanages","RG 12/12","100-105
"
"10","3","213","Homes, Asylums & Orphanages","","","St Elizabeth Franciscan Convent School and Orphanage, Portobello Road","RG 12/29","154-159
"
"10","3","214","Homes, Asylums & Orphanages","38 Church Street","","St Vincents Orphanage, Homes, Asylums & Orphanages","RG 12/19","105
"
"10","3","215","Homes, Asylums & Orphanages","7 Church Street","","Boys Brigade Home","RG 12/20","114-115
"
"10","3","216","Homes, Asylums & Orphanages","Harrow Road","","St Vincent Home for Destitute Boys, 333-339","RG 12/10","3-5
"
"10","3","217","Homes, Asylums & Orphanages","Pitt Street","","Bullingham House Orphanage, Homes, Asylums & Orphanages","RG 12/20","88-89
"
"10","3","218","Homes, Asylums & Orphanages","Portobello Road","","St Josephs Home for the Aged Poor","RG 12/29","147-153
"
"10","3","219","Homes, Asylums & Orphanages","Randolph Gardens","","Orphanage of Mercy for Destitute Girls","RG 12/12","115-122
"
"10","3","220","Homes, Asylums & Orphanages","Scarsdale Place, Wrights Lane","","Walsthorpe House Home for Crippled Boys","RG 12/18","171-173
"
"10","3","221","Hoopers Court","Brompton Road","","1-26","RG 12/30","18-21
"
"10","3","222","Hoopers Court","Brompton Road","","pt, Hoopers Court, 7","RG 12/61","162
"
"10","3","223","Horbury Crescent and Mews","Kensington Park Road","","4-26 pt Even","RG 12/22","14-15
"
"10","3","224","Horbury Crescent and Mews","Kensington Park Road","","Mews and pt 26-28 Even","RG 12/22","16-17
"
"10","3","225","Horbury Crescent and Mews","Kensington Park Road","","Odd Nos and 2","RG 12/22","13-14
"
"10","3","226","Horbury Crescent and Mews","Kensington Park Road","","pt, Horbury Crescent and Mews, 7","RG 12/22","31
"
"10","3","227","Hormead Road","Great Western Road","","","RG 12/10","25-30
"
"10","3","228","Hornton Lodge","Pitt Street","","","RG 12/20","85
"
"10","3","229","Hornton Place","Hornton Street","","","RG 12/20","110-112
"
"10","3","230","Hornton Street","Kensington High Street","","Grey House, Hornton Street","RG 12/20","118
"
"10","3","231","Hornton Street","Kensington High Street","","Hornton Cottage, Red House, Niddry Lodge and 1-30","RG 12/20","105-107
"
"10","3","232","Hospitals","Cambridge Place","","St Marys Hospital","RG 12/17","105-112
"
"10","3","233","Hospitals","Fulham Road","","Brompton Hospital for Diseases of the Chest","RG 12/34","165-171
"
"10","3","234","Hospitals","Harrow Road","","Lock Female Hospital and Asylum","RG 12/12","100-105
"
"10","3","235","Hospitals","Harrow Road","","Poor Law Infirmary","RG 12/12","106-114
"
"10","3","236","Hospitals","Market Street","","Dudley Stuart Home for Girls","RG 12/15","26
"
"10","3","237","Hospitals","Marloes Road","","Kensington Infirmary","RG 12/29","109-124
"
"10","3","238","Hospitals","Rackham Street","Last page MISSING","St Marylebone Infirmary","RG 12/29","160-177
"
"10","3","239","Howell Street","Cuthbert Street","","","RG 12/4","77-81
"
"10","3","240","Howley Place","Harrow Road","","","RG 12/4","101-104
"
"10","3","241","Hurstway Street","Blechynden Street","","","RG 12/23","145-150
"
"10","3","242","Hyde Park Gardens","Clarendon Place","","","RG 12/13","4-9
"
"10","3","243","Hyde Park Gardens Mews","","","","RG 12/13","12-15
"
"10","3","244","Hyde Park Gate","pt of Kensington Road","","Mews and Stables, Hyde Park Gate","RG 12/18","35-41
"
"10","3","245","Hyde Park Place","pt of Bayswater Road","","1-9","RG 12/13","127-128
"
"10","3","246","Hyde Park Place","pt of Bayswater Road","","10-24","RG 12/69","88-89
"
"10","3","247","Hyde Park Square","Hyde Park Street","","1-4","RG 12/14","13
"
"10","3","248","Hyde Park Square","Hyde Park Street","","24-36","RG 12/13","10-11
"
"10","3","249","Hyde Park Square","Hyde Park Street","","39-46","RG 12/14","13-14
"
"10","3","250","Hyde Park Square","Hyde Park Street","","5-22","RG 12/14","100-103
"
"10","3","251","Hyde Park Square","Hyde Park Street","","Mews, Hyde Park Square","RG 12/14","99-100
"
"10","3","252","Hyde Park Street","Bayswater Road","","1-13 Odd","RG 12/14","11-12
"
"10","3","253","Hyde Park Street","Bayswater Road","","15-21 Odd","RG 12/14","103-104
"
"10","3","254","Hyde Park Street","Bayswater Road","","20-20 Even","RG 12/14","11
"
"10","3","255","Hyde Park Street","Bayswater Road","","22-30 Even","RG 12/14","104
"
"10","3","256","Hyde Park Terrace","pt of Bayswater Road","","","RG 12/14","16-18
"
"10","3","257","Hypatia Villa","Campden Hill","","","RG 12/20","68
"
"10","3","258","Ifield Road","Fulham Road","","","RG 12/31","151-180
"
"10","3","259","Ilchester Gardens","Princes Square","","","RG 12/17","91
"
"10","3","260","Inkerman Terrace","","","7-12","RG 12/19","66-67
"
"10","3","261","Inkerman Terrace","pt of Allen Street","","1-6","RG 12/34","161-162
"
"10","3","262","Inverness Gardens","Vicarage Gate","","","RG 12/19","119
"
"10","3","263","Inverness Place and Mews","Queens Road","","","RG 12/16","106-107
"
"10","3","264","Inverness Terrace","Bayswater Road","","1-95","RG 12/16","96-101
"
"10","3","265","Inverness Terrace","Bayswater Road","","108-146 Even","RG 12/15","175-177
"
"10","3","266","Inverness Terrace","Bayswater Road","","2-106 Even","RG 12/16","91-96
"
"10","3","267","Inverness Terrace","Bayswater Road","","97-141 Odd","RG 12/15","174-175
"
"10","3","268","Inverness Terrace","Bayswater Road","","House, Inverness Terrace, Inverness Terrace","RG 12/16","78
"
"10","3","269","Iron Gate Wharf Road","Harrow Road","","","RG 12/3","39-42
"
